タイトル,章,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,ページ,解説
パリ協定の気温目標,第1章,パリ協定で合意された気温上昇の抑制目標は？,1.0℃,1.5℃,2.0℃,3.0℃,1.5℃,12,世界共通の長期目標として1.5℃に抑える努力を追求することが合意されました。
TCFDのFの略称,第1章,TCFDの「F」は何の略？,Forest,Future,Financial,Factory,Financial,10,気候関連財務情報開示タスクフォース（Financial）です。
ネットゼロの定義,第1章,温室効果ガスの排出量と吸収・除去量をプラスマイナスゼロにすることを何と呼ぶ？,カーボンマイナス,ネットゼロ,デカーボナイズ,エミッションフリー,ネットゼロ,20,排出と除去のバランスが取れた状態を「ネットゼロ」と呼びます。
CN目標年次,第1章,2020年に日本政府が宣言したカーボンニュートラルの目標年次は？,2030年,2040年,2050年,2060年,2050年,17,2050年カーボンニュートラルを目指すことが宣言されました。
ESG投資のS,第1章,ESG投資の「S」が指す要素は？,科学(Science),持続可能性(Sustainability),社会(Social),サービス(Service),社会(Social),9,環境(Environment)・社会(Social)・ガバナンス(Governance)の略です。
中小SBTのScope3,第2章,SBTの中小企業版にはない要件は？,Scope1の算定,Scope2の算定,Scope3の算定,コミットメントレターの提出,Scope3の算定,41,中小企業版SBTではScope3の算定・目標設定は任意です。
RE100の定義,第2章,企業の再エネ100%化を目指す国際イニシアチブの名称は？,RE100,SBTi,TCFD,CDP,RE100,54,Renewable Energy 100%の略称です。
削減の4ステップ,第2章,現状把握から情報開示までの4ステップで、目標設定の次に行うべきことは？,算定,削減の取り組み,情報開示,第三者認証,削減の取り組み,30,算定→目標設定→削減→報告・開示のサイクルです。
TCFDの4つの柱,第2章,TCFDが提言する4つの開示項目のうち、「戦略」「ガバナンス」「指標と目標」ともう一つは？,リスク管理,資金計画,広報活動,製品開発,リスク管理,49,ガバナンス、戦略、リスク管理、指標と目標の4本柱です。
CDPの役割,第2章,環境情報を収集・分析し、企業に開示を求める国際的な非営利団体は？,SBT,RE100,CDP,UNEP,CDP,54,CDP（旧Carbon Disclosure Project）のことです。
Scope1の範囲,第3章,自社での燃料使用による直接的な排出はどのScopeに該当する？,Scope 1,Scope 2,Scope 3,Scope 4,Scope 1,60,自社による直接排出がScope 1です。
Scope2の範囲,第3章,他社から供給された電気、熱、蒸気の使用に伴う間接排出はどれ？,Scope 1,Scope 2,Scope 3,カテゴリ1,Scope 2,60,エネルギー起源の間接排出がScope 2です。
活動量の定義,第3章,排出量を計算するための基本式「活動量 × 排出原単位」の「活動量」に該当するものは？,電気使用量(kWh),CO2排出係数,地球温暖化係数,削減ポテンシャル,電気使用量(kWh),77,規模を表す数値が活動量です。
Scope3のカテゴリ数,第3章,Scope 3には全部でいくつのカテゴリが存在するか？,5カテゴリ,10カテゴリ,15カテゴリ,20カテゴリ,15カテゴリ,62,Scope 3は15のカテゴリに分類されます。
対象外のガス,第3章,サプライチェーン排出量の計算に含まれないガスはどれ？,CO2,メタン,フロン類,酸素,酸素,59,温対法で定められた温室効果ガス（7種類）が対象です。
Scope3カテゴリ1,第4章,Scope 3のカテゴリ1「購入した製品・サービス」の算定対象は？,自社の固定資産,原材料の採掘から製造まで,製品の廃棄,従業員の通勤,原材料の採掘から製造まで,92,購入した製品・部品の仕入先までの排出が対象。
一次データの定義,第4章,サプライヤーから提供される一次データの定義は？,公表されている統計値,自社やサプライヤーが直接計測した値,業界の平均値,推定計算値,自社やサプライヤーが直接計測した値,101,実測した値を一次データと呼びます。
Scope3カテゴリ4,第4章,Scope 3のカテゴリ4「輸送・配送（上流）」で、荷主が算定すべき対象は？,自社が費用を負担する輸送,従業員の出張,製品の使用時の輸送,廃棄物の輸送,自社が費用を負担する輸送,109,自社が費用を負担する輸送が対象です。
Scope3カテゴリ12,第4章,販売した製品の廃棄・リサイクルに伴う排出は何カテゴリ？,カテゴリ1,カテゴリ5,カテゴリ12,カテゴリ15,カテゴリ12,143,製品の寿命終了時の処理はカテゴリ12です。
Scope3カテゴリ15,第4章,金融機関などが投資・融資先の排出量を算定するカテゴリは？,カテゴリ1,カテゴリ7,カテゴリ11,カテゴリ15,カテゴリ15,152,投資に関する排出量はカテゴリ15です。
温対法の正式名称,第5章,日本の「温対法」の正式名称に含まれる言葉は？,エネルギー使用の合理化,地球温暖化対策の推進,再エネ導入,カーボンリサイクル,地球温暖化対策の推進,155,地球温暖化対策の推進に関する法律です。
省エネ法特定事業者,第5章,省エネ法において、年度のエネルギー使用量が1,500kl以上の事業者の呼称は？,特定事業者,特別事業者,指定事業者,重点事業者,特定事業者,159,1,500kl以上が特定事業者となります。
CFPの仕組み,第5章,製品のライフサイクル全体の排出量を算定し表示する仕組みは？,カーボンフットプリント(CFP),エコマーク,エネルギーラベル,SBT,カーボンフットプリント(CFP),164,ゆりかごから墓場までの見える化です。
脱炭素ポータル,第5章,環境省が運営する、脱炭素支援情報をまとめたサイトは？,脱炭素ポータル,エコジン,環境展望台,グリーンパンフレット,脱炭素ポータル,169,環境省のポータルサイトです。
非化石証書の価値,第5章,非化石電源から作られた電気の「環境価値」を証書化したものは？,J-クレジット,グリーン電力証書,非化石証書,排出権証書,非化石証書,44,非化石価値を証書化したものです。
