ID,タイトル,章,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,ページ,解説
1,パリ協定の目標,第1章,パリ協定で合意された気温上昇の抑制目標は？,1.0℃,1.5℃,2.0℃,3.0℃,1.5℃,12,世界共通の長期目標として1.5℃に抑える努力を追求することが合意されました。
2,ネットゼロの定義,第1章,温室効果ガスの排出量と吸収量をプラスマイナスゼロにすることを何と呼ぶ？,カーボンマイナス,ネットゼロ,デカーボナイズ,エミッションフリー,ネットゼロ,20,排出と除去のバランスが取れた状態を指します。
3,CN目標年次,第1章,日本政府が宣言したカーボンニュートラルの目標年次は？,2030年,2040年,2050年,2060年,2050年,17,2050年までの達成を目指しています。
4,TCFDの4つの柱,第1章,TCFDが提言する4つの開示項目のうち「戦略」「ガバナンス」「指標と目標」ともう一つは？,リスク管理,資金計画,広報活動,製品開発,リスク管理,49,ガバナンス、戦略、リスク管理、指標と目標の4本柱です。
5,ESG投資のS,第1章,ESG投資の「S」が指す要素は？,科学,持続可能性,社会,サービス,社会,9,Environment(環境)・Social(社会)・Governance(ガバナンス)の略です。
6,GHGの種類,第1章,温対法で定められた温室効果ガスは何種類？,3種類,5種類,7種類,10種類,7種類,59,CO2、メタン、一酸化二窒素、フロン類など計7種類です。
7,IPCCの役割,第1章,気候変動に関する科学的な知見を評価する国際的な組織は？,UNEP,IPCC,WMO,COP,IPCC,15,気候変動に関する政府間パネル（IPCC）です。
8,物理的リスク,第1章,TCFDにおける、異常気象による直接的な損害などのリスクを何と呼ぶ？,移行リスク,物理的リスク,法的リスク,評判リスク,物理的リスク,50,急性的、慢性的な物理的変化に伴うリスクです。
9,移行リスク,第1章,脱炭素社会への移行に伴う政策や技術変化によるリスクを何と呼ぶ？,物理的リスク,移行リスク,市場リスク,運用リスク,移行リスク,50,低炭素経済への移行に関連するリスクです。
10,適応と緩和,第1章,温室効果ガスの排出を抑制することを「緩和」と呼ぶのに対し、影響に対して備えることを何と呼ぶ？,対応,適応,防御,修正,適応,18,気候変動の影響を軽減する「適応」という考え方です。
11,炭素予算,第1章,気温上昇を特定温度内に抑えるために許容される累積排出量を何と呼ぶ？,カーボンクレジット,炭素予算,排出枠,カーボンオフセット,炭素予算,16,カーボンバジェットとも呼ばれます。
12,ICPの定義,第1章,企業が独自に設定し、投資判断等に活用する炭素価格を何と呼ぶ？,炭素税,内部炭素価格(ICP),排出量取引,グリーン価格,内部炭素価格(ICP),45,Internal Carbon Pricingの略です。
13,SBTの基準,第1章,パリ協定と整合した科学的根拠に基づく削減目標を何と呼ぶ？,RE100,SBT,TCFD,CDP,SBT,41,Science Based Targetsの略です。
14,LCAの概念,第1章,製品の原材料調達から廃棄までのライフサイクル全体で環境影響を評価する手法は？,LCA,SBT,ERP,BCP,LCA,164,Life Cycle Assessmentの略です。
15,1.5℃の重要性,第1章,IPCC報告書で示された、深刻な影響を避けるために抑えるべき気温上昇幅は？,1.0℃,1.5℃,2.0℃,2.5℃,1.5℃,12,2℃より1.5℃に抑える方がリスクを大幅に下げられます。
16,RE100の目標,第2章,RE100に加盟する企業が目指すべき再生可能エネルギーの使用比率は？,50%,70%,80%,100%,100%,54,事業活動で使用する電力を100%再エネにすることを目指します。
17,中小SBTの範囲,第2章,中小企業版SBTにおいて、算定・目標設定が「任意」とされているScopeは？,Scope 1,Scope 2,Scope 3,すべて必須,Scope 3,41,中小企業版はScope 3の目標設定が任意となっています。
